City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Khanapur,IN,78.8,scattered clouds,15.6333,74.5167,PWD Guest House Khanapur
346,Cerritos,US,73.99,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
349,Thinadhoo,MV,83.7,few clouds,0.5333,72.9333,
352,Piacabucu,BR,82.63,broken clouds,-10.4056,-36.4344,Piaçabuçu News
353,Khash,IR,71.67,overcast clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
356,Besikduzu,TR,71.6,broken clouds,41.052,39.2284,YKT
358,Fasa,IR,78.8,scattered clouds,28.9383,53.6482,Fasa University Boys' Dormitory
361,Safaga,EG,87.8,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
362,Manthani,IN,97.63,broken clouds,18.65,79.6667,Social Welfare Boys Hostel
364,Ahmadpur,IN,93.88,clear sky,18.7,76.9333,Hengane (Pitashri Niwas)
365,Moron,AR,73.0,scattered clouds,-34.6534,-58.6198,Hotel Morón
366,Arua,UG,75.06,overcast clouds,3.0201,30.9111,Golden Courts Hotel
368,Sao Jose Da Coroa Grande,BR,80.69,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
370,Matara,LK,79.68,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
371,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
372,San Carlos,VE,92.19,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
374,Barranca,PE,71.8,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
378,Popondetta,PG,73.58,overcast clouds,-8.7537,148.2534,Timos Transit House
379,Balabac,PH,80.82,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
382,Shache,CN,65.41,overcast clouds,38.4167,77.2406,Delong Hotel
385,Tautira,PF,77.0,few clouds,-17.7333,-149.15,Pension Oaoa
387,Kupang,ID,77.74,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
388,Tamandare,BR,80.15,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
389,Los Llanos De Aridane,ES,71.6,few clouds,28.6585,-17.9182,Valle Aridane
392,Dhadar,IN,87.3,scattered clouds,28.3305,75.0632,ढाढर
393,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
394,Alexandria,EG,89.6,clear sky,31.2156,29.9553,Royal Crown Hotel
395,Mwingi,KE,69.49,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
399,Esmeraldas,BR,80.6,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
402,Mugla,TR,75.2,broken clouds,37.2303,28.3557,Petek Hotel
404,Mwinilunga,ZM,65.77,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
406,Alyangula,AU,75.2,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
407,Prestea,GH,89.58,overcast clouds,5.4327,-2.1428,Channel 5
408,Vao,NC,76.15,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
409,Bangolo,CI,94.24,broken clouds,7.0069,-7.475,Résidence hôtel yekoula
412,Sinnamary,GF,82.71,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
414,Sao Gabriel,BR,79.0,scattered clouds,-30.3364,-54.32,Hotel Obino
415,Myrtle Beach,US,73.99,few clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
416,Saint-Joseph,RE,77.0,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
417,Veraval,IN,81.93,clear sky,20.9,70.3667,Lords Inn Somnath
418,Riverside,US,75.99,clear sky,33.7333,-116.0508,
419,Inirida,CO,82.38,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
420,Coahuayana,MX,75.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
421,Lorengau,PG,80.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
426,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
427,Atakpame,TG,93.83,broken clouds,7.5333,1.1333,Hôtel Luxembourg Atakpame
429,Fethiye,TR,75.2,broken clouds,36.6217,29.1164,Club & Hotel Letoonia
431,Waingapu,ID,76.46,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
434,Alofi,NU,68.0,broken clouds,-19.0595,-169.9187,Taloa Heights
435,San Ignacio,BZ,82.4,clear sky,17.1561,-89.0714,Rainforest Haven Inn
436,Huarmey,PE,73.0,scattered clouds,-10.0681,-78.1522,Hotel Miramar
437,Samarai,PG,82.47,overcast clouds,-10.6167,150.6667,Nuli Sapi
438,Kangundo,KE,75.2,light rain,-1.2979,37.3471,New Musemei Hotel
439,Harper,LR,85.23,overcast clouds,4.375,-7.7169,Screensaver
440,Amasya,TR,69.8,broken clouds,40.6667,35.8333,Lalehan Hotel
442,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
444,Tra Vinh,VN,78.67,overcast clouds,9.9347,106.3453,Hồng Ân
445,Fuerte Olimpo,PY,90.88,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
449,Fare,PF,81.72,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
450,Taltal,CL,69.04,clear sky,-25.4,-70.4833,Residencial Karime
453,Conceicao Do Araguaia,BR,77.0,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
454,Puerto Del Rosario,ES,71.6,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
455,Biak,ID,74.37,overcast clouds,-0.9131,122.8766,Penginapan Kim
456,Erdemli,TR,76.17,overcast clouds,36.605,34.3084,VERAN HOTEL BEACH CLUB RESTAURANT
457,Yen Bai,VN,70.39,overcast clouds,21.7,104.8667,AK MOTEL
458,Kalmunai,LK,81.39,overcast clouds,7.4167,81.8167,VS Villa
459,Skhisma,GR,71.6,broken clouds,35.2667,25.7167,"Blue Palace, a Luxury Collection Resort and Spa, Crete"
460,Bereda,ES,69.01,overcast clouds,43.2686,-7.5406,Pazo de Verdes
461,Road Town,VG,84.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
462,Mitu,CO,75.99,overcast clouds,1.1983,-70.1733,
463,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
464,Vaitape,PF,81.97,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
467,Gat,IL,89.01,clear sky,31.61,34.7642,OlusHome
468,Morant Bay,JM,87.01,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
470,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
472,Upata,VE,90.09,overcast clouds,8.0086,-62.3989,Posada Villa Nela
473,Comarapa,BO,67.8,broken clouds,-17.9,-64.4833,
478,Sao Felix Do Xingu,BR,77.4,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
482,Guarapari,BR,86.0,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
483,Konya,TR,71.6,broken clouds,38.1667,32.5,Bahcesaray Koyu Muhtarligi
484,Saint Simons,US,66.2,light rain,31.1352,-81.3901,Holiday Inn Express Saint Simons Island
485,Praia,CV,80.6,few clouds,14.9215,-23.5087,LT Aparthotel
487,Presidencia Roque Saenz Pena,AR,82.99,clear sky,-26.7852,-60.4388,Hotel Gualok
491,Praia Da Vitoria,PT,66.2,scattered clouds,38.7333,-27.0667,Hotel Branco I
493,Tucuman,AR,78.8,broken clouds,-26.8241,-65.2226,HOTEL MIAMI
495,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
496,Florianopolis,BR,79.0,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
497,Gweta,BW,74.62,clear sky,-20.1833,25.2333,Gweta Lodge
498,Anloga,GH,73.4,light rain,5.7947,0.8973,Pin Drop Hotel
499,Peniche,PT,70.0,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
500,Amapa,BR,73.51,overcast clouds,1.0,-52.0,
501,Faya,SA,75.2,broken clouds,18.3851,42.4509,مقبرة ال مجمل
505,Santa Lucia,ES,72.0,few clouds,27.9117,-15.5407,Las Tirajanas
506,Sao Teotonio,PT,68.0,scattered clouds,37.5128,-8.7071,Aterra
507,Norsup,VU,79.59,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
509,Jequitinhonha,BR,91.18,scattered clouds,-16.4339,-41.0033,Hotel Bela Vista
511,Padang,ID,77.45,broken clouds,-0.9492,100.3543,Mercure Padang
513,Nyaunglebin,MM,78.49,few clouds,17.95,96.7333,Royal Motel
514,The Valley,AI,86.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
517,Ouargaye,BF,102.15,light rain,11.5033,0.0572,Résidence le Cotonnier
519,Tam Ky,VN,78.8,few clouds,15.5667,108.4833,Khách Sạn Đông Á
520,Santa Cruz,BO,84.9,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
522,Masumbwe,TZ,67.87,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
523,Puerto Carreno,CO,93.04,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
526,Concordia,AR,73.4,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
530,Sambalpur,IN,82.4,haze,21.45,83.9667,Hotel Saket
531,Kerouane,GN,96.01,overcast clouds,9.2667,-9.0167,
532,Plettenberg Bay,ZA,75.6,clear sky,-34.0527,23.3716,Thanda Vista B&B
536,Arcos,BR,80.56,scattered clouds,-20.2819,-45.5394,Hotel Real Palace
539,Angoche,MZ,74.16,scattered clouds,-16.2325,39.9086,Guest House HESADA
540,Markala,ML,104.63,broken clouds,13.7021,-6.0659,Yaya Hôtel
541,Kirakira,SB,79.45,broken clouds,-10.4544,161.9205,SanBiz Lodge
543,San Luis,AR,78.75,few clouds,-33.295,-66.3356,Huarpes Hotel
544,Bahia Honda,CU,87.96,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
551,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
552,Wewak,PG,77.2,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
553,Camacha,PT,68.0,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
554,Porto Santo,PT,68.0,few clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
555,Carutapera,BR,77.61,moderate rain,-1.195,-46.02,Lidera
558,Chepareria,KE,69.91,overcast clouds,1.3077,35.2039,Hamza Lodge
559,Arlit,NE,105.15,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
560,Mozarlandia,BR,88.63,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
561,Touros,BR,84.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
565,Ondjiva,AO,84.2,clear sky,-17.0667,15.7333,SOS Motel
566,Rio Grande,BR,77.0,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
568,Meulaboh,ID,79.54,overcast clouds,4.1363,96.1285,Kost Pria
569,Caravelas,BR,84.47,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
573,Avera,US,71.6,clear sky,33.194,-82.5271,
575,Satipo,PE,84.92,overcast clouds,-11.2522,-74.6386,Hotel Mayros
579,Mumford,GH,84.96,overcast clouds,5.2618,-0.759,Spanish Villa
585,Roebourne,AU,80.6,clear sky,-20.7833,117.1333,Harding River Caravan Park
587,Kourou,GF,81.0,light rain,5.1552,-52.6478,Lodge Takini 4
590,Malayal,PH,82.4,overcast clouds,7.207999999999999,121.94200000000001,
592,Emerald,AU,66.2,clear sky,-23.5333,148.1667,The Irish Village
593,Tomatlan,MX,82.36,clear sky,19.9333,-105.25,Norma franco
595,Sibu,MY,77.0,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
600,Turbat,PK,86.38,scattered clouds,26.0023,63.044,Mubashar Quarters
606,Caborca,MX,66.99,clear sky,30.5838,-111.101,Hotel Los Lagos
608,Bunda,TZ,73.4,scattered clouds,-2.05,33.8667,Tembea Mara at Balili Village
611,Ratangarh,IN,88.14,broken clouds,28.0833,74.6,Hotel Shri Laxmi Palace
612,General Roca,AR,69.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
615,Dunmore Town,BS,77.77,overcast clouds,25.5,-76.65,Coral Sands Hotel
617,Oudtshoorn,ZA,87.8,clear sky,-33.5907,22.2014,Earthbound Guest House
618,Port Blair,IN,82.35,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
619,Tezu,IN,71.26,scattered clouds,27.9167,96.1667,Circuit House
621,Mitsamiouli,KM,81.03,light rain,-11.3847,43.2844,Foyer ADM
622,Marzuq,YE,75.65,broken clouds,14.4,46.4667,
624,Bouna,CI,101.66,broken clouds,9.2667,-3.0,Hotel Reserve
625,Martil,MA,68.0,few clouds,35.6166,-5.2752,فندق مرتيل
631,Barra Do Bugres,BR,90.27,broken clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
632,Kailua,US,71.6,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
633,Luwuk,ID,75.2,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
636,Natal,BR,84.2,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
640,Amuntai,ID,72.64,overcast clouds,-2.4177,115.2494,Hotel Balqis
641,Avenal,US,69.01,clear sky,36.0041,-120.12899999999999,Lodge House Inn The
645,Kismayo,SO,83.26,broken clouds,-0.3582,42.5454,Agan-Hotel
648,Mayumba,GA,82.36,overcast clouds,-3.432,10.6554,LIKWALE LODGE
649,Luanda,AO,87.8,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
651,Charagua,BO,77.36,broken clouds,-19.8,-63.2167,Residencial Luismar
652,Bonthe,SL,85.89,broken clouds,7.5264,-12.505,Bonthe Holiday Village
654,Madimba,TZ,76.55,scattered clouds,-10.4,40.3333,
655,Bafq,IR,73.54,overcast clouds,31.6128,55.4107,Alamdar Hotel
657,Weligama,LK,80.24,overcast clouds,5.9667,80.4167,Weligama Bay Resort
659,Beloha,MG,65.41,clear sky,-25.1667,45.05,
663,Warah,PK,97.83,overcast clouds,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
664,Fougamou,GA,93.2,scattered clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
665,Pindwara,IN,86.54,few clouds,24.8,73.0667,Arbuda tour and travels
670,Miraflores,MX,69.8,clear sky,19.2167,-98.8083,Hotel Mansión
673,Hirara,JP,67.39,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
674,Mweka,CD,79.68,overcast clouds,-4.85,21.5667,
676,Lumeje,AO,74.52,overcast clouds,-11.55,20.7833,
677,Buin,CL,71.01,haze,-33.7333,-70.75,Paihuen
680,Papara,BR,84.2,broken clouds,-3.9839,-38.7273,Romin
681,Atar,MR,93.2,clear sky,20.5169,-13.0499,Oumou Elghoura
